Persoane apte sa manance orice: 
Supa de pui,Cheeseburger,Tarta cu fructe de padure
Supa crema de legume,Pizza,Brownies
Supa crema de broccoli,Spaghetti,Cheesecake
Persoane flexitariene: 
Supa crema de ciuperci,Burger cu somon,Tarta cu fructe de padure
Supa crema de legume,Peste cu cartofi,Brownies
Supa crema de broccoli,Risotto cu fructe de mare,Cheesecake
Persoane vegetariene: 
Supa crema de ciuperci,Burger vegan,Tarta cu fructe de padure
Supa crema de legume,Salata greceasca,Brownies
Supa crema de broccoli,Risotto cu ciuperci,Cheesecake
