Nume, Tip, Cost pranz in lei
Tim Burton,vegetariana,33
James Marshall,flexitariana,46
Gandja Monteiro,vegetariana,33
Charles Addams,flexitariana,46
Alfred Gough,orice,40
Miles Millar,vegetariana,33
Kayla Alpert,flexitariana,46
April Blair,vegetariana,33
Matt Lambert,flexitariana,46
Jenna Ortega,flexitariana,46
Gwendoline Christie,orice,40
Riki Lindhome,vegetariana,33
Emma Myers,orice,40
Joy Sunday,vegetariana,33
Naomi J. Ogawa,flexitariana,46
Christina Ricci,flexitariana,46
Jamie McShane,orice,40
Hunter Doohan,orice,40
Percy Hynes White,vegetariana,33
Georgie Farmer,orice,40
Johnna Dias-Watson,vegetariana,33
Oliver Watson,vegetariana,33
Victor Dorobantu,orice,40
Moosa Mostafa,orice,40
Daniel Himschoot,orice,40
Luyanda Unati Lewis-Nyawo,flexitariana,46
Iman Marson,flexitariana,46
Calum Ross,orice,40
Cezar Grumazescu,vegetariana,33
Tommie Earl Jenkins,flexitariana,46
Catherine Zeta-Jones,vegetariana,33
Morgan Beale,vegetariana,33
George Burcea,orice,40
Islam Bouakkaz,vegetariana,33
William Houston,orice,40
Karina Varadi,vegetariana,33
Rina Mahoney,flexitariana,46
Georgia Goodman,flexitariana,46
Murray McArthur,orice,40
Fred Armisen,vegetariana,33
Luis Guzm�n,flexitariana,46
Olimpia Malai,vegetariana,33
Isaac Ordonez,flexitariana,46
Nitin Ganatra,orice,40
Lucius Hoyos,vegetariana,33
Cheherezade Valentine Okotaka Ebale,orice,40
Oliver Wickham,flexitariana,46
Edward Kennedy,flexitariana,46
Ismail Kesu,orice,40
Caroline Lawrie,flexitariana,46
Lachele Carl,orice,40
Gwen Jones,vegetariana,33
Lisa O'Hare,vegetariana,33
Sophia Nomvete,orice,40
Ichir� Y�ki,flexitariana,46
Amanda Drew,flexitariana,46
Ryan Ellsworth,vegetariana,33
Gloria Garcia,flexitariana,46
Gracy Goldman,flexitariana,46
Lewis Hayes,flexitariana,46
Philip Rosch,flexitariana,46
Michael Okele,vegetariana,33
Chloe Cate,flexitariana,46
Kayla Alpert,flexitariana,46
Gail Berman,orice,40
Tim Burton,vegetariana,33
Jonathan Glickman,vegetariana,33
Carla Gonz�lez Vargas,orice,40
Alfred Gough,vegetariana,33
Tommy Harper,flexitariana,46
Nick Iannelli,vegetariana,33
Kevin Lafferty,flexitariana,46
Miles Millar,flexitariana,46
David Minkowski,orice,40
Kevin Miserocchi,vegetariana,33
Andrew Mittman,orice,40
Carmen Pepelea,orice,40
Steve Stark,vegetariana,33
Natalie Testa,orice,40
Todd Williams,orice,40
Chris Bacon,vegetariana,33
Danny Elfman,flexitariana,46
Stephan Pehrsson,vegetariana,33
David Lanzenberg,vegetariana,33
Ana Yavari,flexitariana,46
Jay Prychidny,flexitariana,46
Paul G. Day,vegetariana,33
Florina Fernandes,vegetariana,33
Sophie Holland,orice,40
John Papsidera,flexitariana,46
Mark Scruton,flexitariana,46
Adrian Curelea,flexitariana,46
Ghinea Diana,vegetariana,33
Silvia Nancu,flexitariana,46
Andrei-Florian Popa,vegetariana,33
Serban Porupca,orice,40
Vlad Roseanu,vegetariana,33
Roxana Alexandru,vegetariana,33
Carmen Ratoi,orice,40
Laurentiu Zarnoianu,flexitariana,46
David Morison,vegetariana,33
Rob Hepburn,vegetariana,33
Colleen Atwood,vegetariana,33
Bianca Boeroiu,vegetariana,33
Catalin Ciutu,orice,40
Natalie L Costello,flexitariana,46
Julian Hutcheson,orice,40
Nirvana Jalalvand,vegetariana,33
Grace McComisky,orice,40
Tara McDonald,vegetariana,33
Dominic Mombrun,flexitariana,46
Angela Ruiz Morales,flexitariana,46
Paraschiv Oana,vegetariana,33
Alexandru Sassu,orice,40
Bas Schwarz,flexitariana,46
Rub�n Serra,orice,40
Margo Stefan,orice,40
Viktoria Stieber,flexitariana,46
Sinead Sweeney,flexitariana,46
Iuliana Temelie,vegetariana,33
Clara Tudose,orice,40
Raquel �lvarez,orice,40
Freda Ellis,orice,40
Ripley Dale-Gulston,flexitariana,46
Olimpia Stoicea,vegetariana,33
Tia Costell,vegetariana,33
Susan Cole,vegetariana,33
Jean Carlos de Blas,flexitariana,46
Gabriella Havens,flexitariana,46
Sheherezada Kouchaki,flexitariana,46
Raluca Moldoveanu,vegetariana,33
Andrea Dardea Tesdall,flexitariana,46
Nicoleta Toader,vegetariana,33
Natalie Fox,orice,40
Niki De Jong,orice,40
Ionel Popa,vegetariana,33
Athina Sapanidis,orice,40
Razvan Badea,orice,40
Irene Iovan Calangiu,orice,40
Alexandru Cseh,vegetariana,33
Emma Mallett,flexitariana,46
Alexandru Acsinte,vegetariana,33
Emilie Balusson,orice,40
Bianca Bumbacea,flexitariana,46
Simona Dinu,vegetariana,33
Mariana Grama,flexitariana,46
Mircea Hategan,vegetariana,33
Stefania Ispas,vegetariana,33
Loyzo,flexitariana,46
Raphael Tudor,flexitariana,46
Costin Sforaru,flexitariana,46
Sabina Balan,vegetariana,33
Brett Chan,orice,40
Ada Dumitru,orice,40
